類群名,year,number_of_occ,ideal_number
鳥類,2001-2020,6647375,110483.866257404
哺乳類,2001-2020,88370,18639.4549876437
兩棲類,2001-2020,106742,6914.63652767426
爬蟲類,2001-2020,29325,21345.1823245597
魚類,2001-2020,30086,500409.239144079
蜘蛛類,2001-2020,11029,97105.5477582081
蝦蟹類,2001-2020,5293,301237.643509983
蜻蛉類,2001-2020,9562,23599.955105323
蝶類,2001-2020,70319,64486.5015298317
蛾類,2001-2020,362500,691012.698211274
蝸牛類,2001-2020,11387,0
甲蟲類,2001-2020,7317,1129340.52679167
其他昆蟲,2001-2020,11400,1584503.9921351
其他無脊椎,2001-2020,3711,877707.884458479
原藻類,2001-2020,1321,255089.960597027
真菌類,2001-2020,3032,779850.74577335
石松類,2001-2020,1668,9770.6820499745
蕨類,2001-2020,21275,121757.730161221
被子植物,2001-2020,240747,1047868.07031342
裸子植物,2001-2020,1664,22998.6823637861
鳥類,1981-2000,864297,14959.8578041031
哺乳類,1981-2000,4206,2523.83995606637
兩棲類,1981-2000,1718,936.263209508493
爬蟲類,1981-2000,748,2890.20382065665
魚類,1981-2000,9465,67756.961401169
蜘蛛類,1981-2000,179,13148.3920291845
蝦蟹類,1981-2000,533,40788.5102577178
蜻蛉類,1981-2000,545,3195.50704114855
蝶類,1981-2000,3908,8731.67210606833
蛾類,1981-2000,38379,93565.2603067509
蝸牛類,1981-2000,837,0
甲蟲類,1981-2000,5169,152916.206370376
其他昆蟲,1981-2000,6958,214546.749813674
其他無脊椎,1981-2000,2460,118844.36696348
原藻類,1981-2000,54,34539.9710116503
真菌類,1981-2000,1278,105594.207194132
石松類,1981-2000,1000,1322.98062213157
蕨類,1981-2000,11260,16486.3739065626
被子植物,1981-2000,82968,141884.583336602
裸子植物,1981-2000,1784,3114.09284901738
鳥類,1961-1980,15928,1035.7984544777
哺乳類,1961-1980,2187,174.746950143177
兩棲類,1961-1980,394,64.8254815047268
爬蟲類,1961-1980,634,200.113442905896
魚類,1961-1980,5989,4691.39191150512
蜘蛛類,1961-1980,59,910.375240262033
蝦蟹類,1961-1980,443,2824.1361942494
蜻蛉類,1961-1980,93,221.252186874828
蝶類,1961-1980,3694,604.568077511474
蛾類,1961-1980,1419,6478.32040167889
蝸牛類,1961-1980,1041,0
甲蟲類,1961-1980,7827,10587.6922292394
其他昆蟲,1961-1980,2567,14854.9000117679
其他無脊椎,1961-1980,892,8228.60840230652
原藻類,1961-1980,174,2391.49656768525
真菌類,1961-1980,375,7311.18691405484
石松類,1961-1980,512,91.6012238653748
蕨類,1961-1980,2183,1141.49217432236
被子植物,1961-1980,25207,9823.87894716197
裸子植物,1961-1980,234,215.615188483113
鳥類,1941-1960,2058,285.834935080218
哺乳類,1941-1960,2250,48.2224924489076
兩棲類,1941-1960,1043,17.8889891342722
爬蟲類,1941-1960,2793,55.2225316753619
魚類,1941-1960,898,1294.61836582591
蜘蛛類,1941-1960,0,251.223630016083
蝦蟹類,1941-1960,54,779.337700545248
蜻蛉類,1941-1960,1,61.0558976974071
蝶類,1941-1960,641,166.834268230495
蛾類,1941-1960,490,1787.73224022281
蝸牛類,1941-1960,146,0
甲蟲類,1941-1960,1138,2921.73859490841
其他昆蟲,1941-1960,190,4099.30074922528
其他無脊椎,1941-1960,739,2270.73494684815
原藻類,1941-1960,4,659.948142627388
真菌類,1941-1960,14,2017.56686149139
石松類,1941-1960,78,25.2779194288628
蕨類,1941-1960,283,315.001765190444
被子植物,1941-1960,6959,2710.9596359785
裸子植物,1941-1960,49,59.5003334248617
鳥類,1921-1940,4049,556.172969050328
哺乳類,1921-1940,86,93.8305417173342
兩棲類,1921-1940,17,34.8081041854627
爬蟲類,1921-1940,121,107.451104224689
魚類,1921-1940,24,2519.04736594359
蜘蛛類,1921-1940,11,488.826854430628
蝦蟹類,1921-1940,72,1516.42262581885
蜻蛉類,1921-1940,16,118.801572980818
蝶類,1921-1940,1057,324.623406425293
蛾類,1921-1940,100,3478.54032479504
蝸牛類,1921-1940,262,0
甲蟲類,1921-1940,1058,5685.07145098655
其他昆蟲,1921-1940,957,7976.35274389048
其他無脊椎,1921-1940,396,4418.35913780253
原藻類,1921-1940,5,1284.11636527674
真菌類,1921-1940,224,3925.74879378653
石松類,1921-1940,368,49.1853646098929
蕨類,1921-1940,1626,612.925312830973
被子植物,1921-1940,28042,5274.94117993175
裸子植物,1921-1940,90,115.774781312517
鳥類,1901-1920,1344,141.951614168595
哺乳類,1901-1920,103,23.9482995332052
兩棲類,1901-1920,1340,8.88404660102773
爬蟲類,1901-1920,1127,27.4246655944769
魚類,1901-1920,566,642.93458988742
蜘蛛類,1901-1920,0,124.762915310085
蝦蟹類,1901-1920,105,387.035421488252
蜻蛉類,1901-1920,23,30.3216373122034
蝶類,1901-1920,334,82.8533911269761
蛾類,1901-1920,155,887.825265759228
蝸牛類,1901-1920,11,0
甲蟲類,1901-1920,234,1450.99656768525
其他昆蟲,1901-1920,386,2035.79859177029
其他無脊椎,1901-1920,122,1127.69452398698
原藻類,1901-1920,0,327.744066998784
真菌類,1901-1920,163,1001.96595143765
石松類,1901-1920,52,12.5535441101479
蕨類,1901-1920,543,156.436472757227
被子植物,1901-1920,3003,1346.3193229514
裸子植物,1901-1920,236,29.5491115208096
