類群名,taxon group,occurrence_count,number_of_species,ideal_number,n,occ_type
鳥類,Birds,7603532,735,126605.659602796,7476.9263403972,above
哺乳類,Mammals,101844,124,21359.3221642812,80.4846778357188,above
兩棲類,Amphibians,113234,46,7923.61951255594,105.310380487444,above
爬蟲類,Reptiles,37614,142,24459.868930064,13.154131069936,above
魚類,Fishes,59306,3329,573428.899071711,-514.122899071711,below
蜘蛛類,Spiders,11692,646,111275.178371981,-99.5831783719812,below
蝦蟹類,Crustaceans,7136,2004,345194.20659048,-338.05820659048,below
蜻蛉類,Dragonflies,11053,157,27043.6579015496,-15.9906579015496,below
蝶類,Butterflies,87399,429,73896.3645844891,13.5026354155109,above
蛾類,Moths,421683,4597,791845.193461297,-370.162193461297,below
蝸牛與貝類,Snails & Shells,19075,3092,532605.033322238,-513.530033322238,below
甲蟲類,Beetles,29361,7513,1294133.7695181,-1264.7727695181,below
其他昆蟲,other insects,26532,10541,1815714.636562,-1789.182636562,below
其他無脊椎,other invertebrates,11299,5839,1005782.92030031,-994.483920300307,below
原藻類,Chromista,1617,1697,292312.658974075,-290.695658974075,below
真菌類,Fungi,5773,5188,893646.478937831,-887.873478937831,below
石松類,Lycophytes,7429,65,11196.4188764377,-3.76741887643774,below
蕨類,Ferns,94710,810,139524.604460224,-44.8146044602241,below
被子植物,Angiosperms,656348,6971,1200772.86134842,-544.424861348423,below
裸子植物,Gymnosperms,8439,153,26354.6475091535,-17.9156475091534,below
